iter	CrossEntropy
0	0.6824388349
1	0.6725403414
2	0.6630800517
3	0.6556396317
4	0.648855133
5	0.6434764157
6	0.6379247175
7	0.6324248593
8	0.627798826
9	0.6237290434
10	0.6199804951
11	0.6162892819
12	0.6133290068
13	0.6108619431
14	0.6080729301
15	0.6055443077
16	0.6029239089
17	0.6008248279
18	0.5987231659
19	0.5964734231
20	0.5945776017
21	0.5926278369
22	0.5907773174
23	0.5888937899
24	0.5871715666
25	0.5855347446
26	0.5841202687
27	0.5828874141
28	0.5813632809
29	0.5801177485
30	0.5788000333
31	0.5772413951
32	0.5758587936
33	0.5745939922
34	0.5734661876
35	0.5722667203
36	0.5709701937
37	0.5697815247
38	0.5688940436
39	0.5678379421
40	0.5668429013
41	0.5657624208
42	0.5649192714
43	0.5641671061
44	0.5632962001
45	0.5624752863
46	0.561383585
47	0.5606145603
48	0.5598904928
49	0.5592114918
50	0.5584977475
51	0.5578430658
52	0.556965675
53	0.5559364264
54	0.5550683865
55	0.5543912514
56	0.5535480144
57	0.5528544807
58	0.5522588663
59	0.5517036929
60	0.5510952919
61	0.5504332725
62	0.5496000392
63	0.5490149441
64	0.5481681797
65	0.5476412875
66	0.5470856512
67	0.5465561478
68	0.5460568098
69	0.545559748
70	0.5450328715
71	0.544543299
72	0.5437416574
73	0.5430462965
74	0.5421304592
75	0.5413755412
76	0.5407860918
77	0.5403314917
78	0.5396409004
79	0.5391126864
80	0.5386776959
81	0.5381495968
82	0.5376560375
83	0.5370944116
84	0.5362735996
85	0.5357977161
86	0.5353773048
87	0.5348546182
88	0.5340098366
89	0.5336698732
90	0.5332377667
91	0.5327789434
92	0.5323561248
93	0.5319468701
94	0.5314015925
95	0.5310730847
96	0.5307667083
97	0.5303229401
98	0.529944828
99	0.5295326605
100	0.5291897153
101	0.5287082627
102	0.5282338004
103	0.5275744394
104	0.5271698443
105	0.5267930672
106	0.5262448011
107	0.5257601534
108	0.5254250708
109	0.5250480407
110	0.5246283005
111	0.5240416657
112	0.5237754098
113	0.5232934332
114	0.5229882257
115	0.5226627368
116	0.5223089874
117	0.5219172481
118	0.521579233
119	0.5210867011
120	0.5208008959
121	0.5204355158
122	0.5201346973
123	0.5196651288
124	0.5192802655
125	0.5189375396
126	0.5185350081
127	0.5182001161
128	0.5178557208
129	0.5175739104
130	0.5172867496
131	0.5169978812
132	0.5164921843
133	0.5160497513
134	0.515628261
135	0.5152015326
136	0.514880697
137	0.51445161
138	0.514141635
139	0.5138147026
140	0.5135458868
141	0.5132705677
142	0.5128072386
143	0.5124092015
144	0.5119428599
145	0.5112964441
146	0.5109391957
147	0.5104131223
148	0.5100839018
149	0.5097386154
150	0.509399788
151	0.5088736844
152	0.5083798768
153	0.5079375332
154	0.5075407677
155	0.506996683
156	0.5066461259
157	0.5060189053
158	0.505352071
159	0.5050103401
160	0.5047464935
161	0.5043459665
162	0.5040775235
163	0.5037906705
164	0.5031874114
165	0.5027910543
166	0.5024971581
167	0.5018770764
168	0.5013877402
169	0.5008496966
170	0.5003406614
171	0.5000233341
172	0.4994042448
173	0.4988145853
174	0.4985469035
175	0.4980198155
176	0.4977046455
177	0.4972654364
178	0.4968042521
179	0.4964712954
180	0.4960830764
181	0.4957656028
182	0.4954612101
183	0.4950965978
184	0.4948744628
185	0.4945820557
186	0.4939870268
187	0.49347965
188	0.4929228819
189	0.4926643582
190	0.4924287697
191	0.4920036541
192	0.4917490866
193	0.49143672
194	0.491115862
195	0.4907300631
196	0.4903836865
197	0.4901303961
198	0.4897922889
199	0.4894397901
200	0.4891750956
201	0.4888206032
202	0.4885439447
