iter	Passed	Remaining
0	567	6807983
1	761	4565861
2	966	3863896
3	1169	3507947
4	1365	3276400
5	1614	3227855
6	1836	3146631
7	2079	3117542
8	2300	3064902
9	2502	3000411
10	2699	2942284
11	2900	2897631
12	3098	2857484
13	3288	2815066
14	3470	2773238
15	3692	2765941
16	3994	2815761
17	4263	2838018
18	4683	2953298
19	5094	3051904
20	5497	3135683
21	5846	3183086
22	6182	3219406
23	6499	3243011
24	6781	3248398
25	7094	3267217
26	7348	3258863
27	7642	3267921
28	7926	3272051
29	8239	3287375
30	8518	3289131
31	8809	3294908
32	9077	3291893
33	9335	3285490
34	9580	3275294
35	9852	3274266
36	10194	3296051
37	10514	3309994
38	10781	3306487
39	11064	3308226
40	11316	3300885
41	11576	3295914
42	11879	3303323
43	12163	3305078
44	12447	3306890
45	12672	3293241
46	12876	3274757
47	13069	3254326
48	13256	3233239
49	13448	3214211
50	13639	3195669
51	13919	3198213
52	14280	3219013
53	14523	3212972
54	14787	3211609
55	15003	3200101
56	15290	3203830
57	15488	3189089
58	15665	3170582
59	15838	3151823
60	16039	3139295
61	16215	3122327
62	16413	3109888
63	16600	3096012
64	16812	3087077
65	17040	3081282
66	17262	3074487
67	17560	3081300
68	17841	3085060
69	18085	3082275
70	18284	3071978
71	18616	3084160
72	19027	3108749
73	19317	3113294
74	19597	3116004
75	19836	3112257
76	20096	3111773
77	20357	3111547
78	20551	3101182
79	20773	3095222
80	20996	3089524
81	21275	3092226
82	21524	3090521
83	21766	3087736
84	22030	3088221
85	22244	3081701
86	22486	3079163
87	22698	3072511
88	22933	3069239
89	23130	3060871
90	23324	3052442
91	23535	3046358
92	23734	3038756
93	23914	3029016
94	24119	3022565
95	24310	3014464
96	24493	3005584
97	24682	2997606
98	24864	2989058
99	25040	2979878
100	25215	2970730
101	25407	2963724
102	25586	2955418
103	25773	2948051
104	25947	2939490
105	26134	2932491
106	26336	2927281
107	26530	2921252
108	26716	2914523
109	27029	2921598
110	27285	2922521
111	27500	2918930
112	27705	2914498
113	27906	2909619
114	28109	2905044
115	28411	2910692
116	28699	2914806
117	28961	2916305
118	29175	2912866
119	29411	2911770
120	29626	2908496
121	29823	2903624
122	30023	2899102
123	30222	2894549
124	30470	2894721
125	30762	2899044
126	31014	2899518
127	31198	2893689
128	31366	2886485
129	31540	2879921
130	31722	2874175
131	31901	2868203
132	32102	2864324
133	32293	2859675
134	32464	2853261
135	32657	2848923
136	32838	2843548
137	33017	2838067
138	33180	2831283
139	33365	2826576
140	33525	2819698
141	33689	2813311
142	33894	2810414
143	34080	2805925
144	34271	2802024
145	34476	2799244
146	34654	2794290
147	34855	2791280
148	35032	2786345
149	35201	2780950
150	35389	2777038
151	35582	2773565
152	35782	2770673
153	35982	2767858
154	36158	2763183
155	36339	2759010
156	36514	2754424
157	36682	2749342
158	36910	2748823
159	37135	2748011
160	37330	2745080
161	37536	2742976
162	37710	2738514
163	37924	2737066
164	38155	2736789
165	38353	2734154
166	38543	2731072
167	38767	2730335
168	38953	2727008
169	39161	2725180
170	39348	2721953
171	39509	2716982
172	39676	2712437
173	39865	2709468
174	40043	2705787
175	40235	2703118
176	40404	2698870
177	40597	2696280
178	40782	2693252
179	40975	2690706
180	41148	2686922
181	41330	2683754
182	41509	2680434
183	41684	2676861
184	41866	2673767
185	42041	2670291
186	42215	2666815
187	42407	2664452
188	42585	2661272
189	42766	2658248
190	42938	2654766
191	43140	2653110
192	43311	2649648
193	43486	2646418
194	43681	2644394
195	43911	2644571
196	44081	2641105
197	44252	2637741
198	44439	2635332
199	44607	2631855
200	44778	2628587
201	44958	2625844
202	45160	2624415
203	45351	2622366
204	45550	2620829
205	45734	2618384
206	45942	2617377
207	46156	2616692
208	46374	2616304
209	46575	2614897
210	46769	2613112
211	46974	2611933
212	47157	2609583
213	47352	2607915
214	47549	2606381
215	47728	2603853
216	47914	2601710
217	48130	2601263
218	48297	2598129
219	48490	2596443
220	48665	2593824
221	48870	2592774
222	49036	2589676
223	49212	2587194
224	49417	2586205
225	49596	2583839
226	49792	2582393
227	49971	2580086
228	50157	2578202
229	50353	2576765
230	50538	2574816
231	50747	2574103
232	50931	2572143
233	51110	2569935
234	51275	2567051
235	51456	2564956
236	51664	2564251
237	51936	2566733
238	52141	2565857
239	52354	2565347
240	52537	2563428
241	52783	2564559
242	53014	2564973
243	53250	2565617
244	53537	2568684
245	53785	2569889
246	54018	2570378
247	54271	2571757
248	54486	2571377
249	54672	2569613
250	54869	2568391
251	55064	2567043
252	55360	2570419
253	55729	2577138
254	56042	2581240
255	56326	2583986
256	56658	2588894
257	56978	2593167
258	57273	2596322
259	57510	2596816
260	57707	2595496
261	57907	2594339
262	58092	2592509
263	58352	2594040
264	58564	2593393
265	58745	2591425
266	58933	2589763
267	59100	2587191
268	59280	2585214
269	59450	2582813
270	59638	2581169
271	59820	2579312
272	60019	2578217
273	60328	2581811
274	60595	2583580
275	60860	2585265
276	61076	2584852
277	61354	2587028
278	61540	2585359
279	61718	2583359
280	61970	2584460
281	62198	2584560
282	62371	2582377
283	62594	2582232
284	62848	2583388
285	63024	2581345
286	63246	2581202
287	63468	2581062
288	63641	2578910
289	63821	2577067
290	64016	2575835
291	64229	2575348
292	64411	2573595
293	64599	2572100
294	64903	2575223
295	65114	2574679
296	65327	2574183
297	65584	2575383
298	65766	2573709
299	66028	2575112
300	66271	2575782
301	66509	2576271
302	66754	2576974
303	66938	2575378
304	67138	2574363
305	67304	2572090
306	67508	2571251
307	67695	2569782
308	67885	2568435
309	68060	2566554
310	68256	2565429
311	68575	2568949
312	68812	2569361
313	69166	2574142
314	69537	2579491
315	69933	2585785
316	70270	2589828
317	70573	2592563
318	70916	2596771
319	71155	2597164
320	71401	2597820
321	71606	2596947
322	71879	2598552
323	72091	2597959
324	72326	2598205
325	72600	2599822
326	72846	2600433
327	73101	2601360
328	73322	2601059
329	73588	2602363
330	73846	2603364
331	74148	2605930
332	74375	2605835
333	74617	2606241
334	74840	2606024
335	75075	2606184
336	75368	2608362
337	75587	2607995
338	75868	2609729
339	76161	2611903
340	76425	2613040
341	76611	2611507
342	76826	2610995
343	77074	2611559
344	77372	2613846
345	77566	2612612
346	77764	2611492
347	77942	2609731
348	78133	2608397
349	78320	2606951
350	78513	2605702
351	78709	2604584
352	78917	2603817
353	79143	2603684
354	79385	2604081
355	79615	2604048
356	79856	2604405
357	80072	2603921
358	80353	2605551
359	80578	2605387
360	80793	2604863
361	81033	2605144
362	81289	2605956
363	81560	2607232
364	81936	2611868
365	82298	2615998
366	82640	2619509
367	82957	2622186
368	83230	2623467
369	83494	2624425
370	83732	2624588
371	83967	2624648
372	84222	2625342
373	84529	2627658
374	84824	2629569
375	85179	2633327
376	85459	2634742
377	85768	2637054
378	86099	2639996
379	86372	2641166
380	86696	2643912
381	86973	2645175
382	87260	2646753
383	87536	2647973
384	87818	2649372
385	88149	2652246
386	88422	2653358
387	88677	2653913
388	88966	2655489
389	89312	2658771
390	89609	2660541
391	89892	2661907
392	90242	2665267
393	90568	2667850
394	90932	2671586
395	91267	2674404
396	91552	2675788
397	91827	2676850
398	92109	2678114
399	92453	2681148
400	92657	2680129
401	92870	2679388
402	93081	2678587
403	93260	2676862
404	93480	2676312
405	93741	2676954
406	93975	2676795
407	94194	2676221
408	94409	2675549
409	94638	2675272
410	94862	2674858
411	95056	2673588
412	95257	2672519
413	95440	2670955
414	95656	2670318
415	95823	2668328
416	96017	2667078
417	96186	2665148
418	96360	2663368
419	96536	2661660
420	96800	2662370
421	97029	2662115
422	97217	2660737
423	97434	2660137
424	97698	2660849
425	97905	2659999
426	98168	2660664
427	98348	2659082
428	98583	2658999
429	98787	2658073
430	99013	2657735
431	99187	2656032
432	99379	2654780
433	99566	2653427
434	99747	2651911
435	99933	2650516
436	100127	2649378
437	100310	2647917
438	100574	2648614
439	100969	2652736
440	101426	2658483
441	101826	2662694
442	102167	2665354
443	102468	2666944
444	102754	2668162
445	103062	2669907
446	103301	2669880
447	103613	2671759
448	103868	2672132
449	104125	2672566
450	104396	2673327
451	104654	2673775
452	104968	2675654
453	105214	2675794
454	105453	2675730
